name,addr,lat,lng
雋鈺,台南市永康區西灣里永華路157號,23.00942625,120.2595986
將富,台南市將軍區將富里49之八號,23.21716,120.13838
華醫,台南市仁德區民安路一段115號,22.95903851,120.2407279
牛墟,台南市善化區什乃里什乃190號,23.13974293,120.2880331
仁伯,台南市仁德區後壁里德安路188號,22.9489119,120.2554578
創意,台南市永康區鹽行里中正二街268號,23.0304555,120.2352545
裕信,台南市東區裕信路352號,22.979772,120.2449901
常勝,台南市北區長榮里長勝路1號,23.00933741,120.220331
奇蹟,台南市永康區永大路三段299號,23.03440728,120.2594596
麻善,台南市麻豆區晉江里民權路10-1號,23.18298397,120.2514586
新墘,台南市新市區港墘里民族路118號,23.08216872,120.2996008
新新復,台南市新營區新進路二段466號,23.30257088,120.3027765
長榮大,台南市歸仁區大潭里長榮路一段396號(長榮大學內第4宿舍B1),22.90665,120.2733
德光,台南市東區崇德路269號,22.97824778,120.2215255
新化,台南市新化區中正路557號,23.03829287,120.3071738
吉吉好,台南市東區崇德路670號,22.9685481,120.2269498
湖美,台南市北區大豐里27鄰中華北路一段143號,23.00981729,120.1852622
長溪,台南市安南區安慶里長溪路一段307號,23.03869279,120.207321
淵安,台南市安南區海佃路三段163號,23.05043105,120.1810999
裕平,台南市東區關聖里裕信路177號1樓,22.98519,120.2451678
小腳腿,台南市柳營區重溪里義士路一段938號,23.28530648,120.36569
麻中,台南市麻豆區南勢里南勢36-205號,23.18342383,120.2611086
遠德,台南市新化區北勢里中正路1211號,23.05960213,120.2967752
安高,台南市安定區港尾里港子尾37-28號,23.10179717,120.2362202
車讚,台南市關廟區北花里中正路517號,22.96458074,120.3405182
鹽新,台南市鹽水區橋南里忠孝路93號,23.31091469,120.2736463
安安,台南市安南區安明路四段260-70號,23.0611839,120.1339893
仁大,台南市仁德區太子里太子路120號122號,22.99146849,120.2658695
鹽信,台南市永康區正南一街148號,23.02557177,120.2266023
二鎮,台南市官田區二區里工社西街25巷81號,23.22080008,120.3305636
永愛,台南市永康區北灣里文賢街80-1號,23.00799451,120.2717977
保華,台南市仁德區成功里崇德路88號,22.95942362,120.2275613
仁文,台南市東區仁和路57-7號59號1樓,22.97542278,120.230807
桂田,台南市永康區鹽行里新行街251號一樓,23.044266,120.2421191
虎尾寮,台南市仁德區仁德里文德路157號,22.96845,120.24274
新正賢,台南市仁德區保安里中正路一段209號,22.92234237,120.2364647
華平,台南市安平區健康路三段242號,22.98377519,120.1739147
新曾文,台南市麻豆區東角里興中路177號179號,23.18374847,120.2541885
鯤鯓,台南市南區南都里鯤鯓路20號,22.95901351,120.1839386
新永華,台南市中西區永華路248號,23.01076254,120.2595611
新同安,台南市安南區理想里海佃路二段432號,23.03873629,120.18812
鈺廣,台南市永康區大灣里民族路409號一樓,23.00808778,120.2662222
欣奇,台南市新營區新東里東興路236號,23.31649845,120.3230504
新凱,台南市新市區社內里12之5號,23.07446,120.27699
